"Dates","Milking","Total","68% CI","FOOTRIM","LAME",
   Jan19 ,    320 ,   36 ,   9-13 ,       0 ,      36,
   Feb19 ,    349 ,   43 ,  10-14 ,       0 ,      43,
   Mar19 ,    358 ,   87 ,  22-26 ,       0 ,      87,
   Apr19 ,    369 ,   65 ,  15-19 ,       0 ,      65,
   May19 ,    390 ,   68 ,  15-19 ,       0 ,      68,
   Jun19 ,    404 ,   90 ,  20-24 ,       0 ,      90,
   Jul19 ,    426 ,   92 ,  19-23 ,       0 ,      92,
   Aug19 ,    436 ,   87 ,  18-22 ,       0 ,      87,
   Sep19 ,    457 ,  106 ,  21-25 ,       0 ,     106,
   Oct19 ,    471 ,   79 ,  15-18 ,       0 ,      79,
   Nov19 ,    494 ,   87 ,  16-19 ,       0 ,      87,
   Dec19 ,    525 ,  111 ,  19-23 ,       0 ,     111,
   Jan20 ,    556 ,   82 ,  13-16 ,       0 ,      82,
   Feb20 ,    581 ,   79 ,  12-15 ,       0 ,      79,
   Mar20 ,    608 ,  102 ,  15-18 ,       0 ,     102,
   Apr20 ,    635 ,   97 ,  14-17 ,       0 ,      97,
   May20 ,    688 ,   64 ,   8-10 ,       0 ,      64,
   Jun20 ,    750 ,  131 ,  16-19 ,       0 ,     131,
   Jul20 ,    808 ,   92 ,  10-12 ,       0 ,      92,
   Aug20 ,    841 ,   90 ,  10-12 ,       0 ,      90,
   Sep20 ,    857 ,   91 ,   9-12 ,       0 ,      91,
   Oct20 ,    891 ,  206 ,  21-24 ,     108 ,      98,
   Nov20 ,    901 ,  178 ,  18-21 ,     114 ,      64,
   Dec20 ,    890 ,  264 ,  28-31 ,     146 ,     118,
   Jan21 ,    905 ,  170 ,  17-20 ,     101 ,      69,
   Feb21 ,    916 ,  176 ,  18-20 ,     123 ,      53,
   Mar21 ,    920 ,  223 ,  22-25 ,     184 ,      39,
   Apr21 ,    923 ,  247 ,  25-28 ,     200 ,      47,
   May21 ,    921 ,  264 ,  27-30 ,     200 ,      64,
   Jun21 ,    941 ,  190 ,  19-21 ,     150 ,      40,
   Jul21 ,    975 ,  255 ,  24-27 ,     188 ,      67,
   Aug21 ,    993 ,  251 ,  24-26 ,     186 ,      65,
   Sep21 ,    987 ,  212 ,  20-22 ,     154 ,      58,
   Oct21 ,    972 ,  222 ,  21-24 ,     164 ,      58,
   Nov21 ,    948 ,  192 ,  19-21 ,     130 ,      62,
   Dec21 ,    974 ,  244 ,  23-26 ,     176 ,      68,
   Jan22 ,    996 ,  193 ,  18-20 ,     132 ,      61,
   Feb22 ,    963 ,  189 ,  18-21 ,     138 ,      51,
   Mar22 ,    907 ,  219 ,  22-25 ,     167 ,      52,
   Apr22 ,    897 ,  218 ,  23-25 ,     164 ,      54,
   May22 ,    868 ,  192 ,  20-23 ,     158 ,      34,
   Jun22 ,    849 ,  208 ,  23-26 ,     160 ,      48,
   Jul22 ,    847 ,  131 ,  14-16 ,      80 ,      51,
   Aug22 ,    800 ,  123 ,  14-16 ,      58 ,      65,
   Sep22 ,    798 ,  183 ,  21-24 ,      90 ,      93,
   Oct22 ,    819 ,  139 ,  15-18 ,      65 ,      74,
   Nov22 ,    806 ,  131 ,  15-17 ,      76 ,      55,
   Dec22 ,    804 ,  139 ,  16-18 ,      84 ,      55,
   Jan23 ,    822 ,  123 ,  14-16 ,      67 ,      56,
   Feb23 ,    815 ,  123 ,  14-16 ,      77 ,      46,
   Mar23 ,    793 ,  138 ,  16-18 ,      76 ,      62,
   Apr23 ,    790 ,  124 ,  14-17 ,      59 ,      65,
   May23 ,    792 ,  125 ,  14-17 ,      65 ,      60,
   Jun23 ,    786 ,  153 ,  18-21 ,     102 ,      51,
   Jul23 ,    784 ,  151 ,  18-20 ,      92 ,      59,
   Aug23 ,    791 ,  176 ,  20-23 ,     111 ,      65,
   Sep23 ,    790 ,  139 ,  16-19 ,      94 ,      45,
   Oct23 ,    785 ,  238 ,  28-31 ,     176 ,      62,
   Nov23 ,    774 ,  156 ,  18-21 ,      97 ,      59,
   Dec23 ,    782 ,  146 ,  17-20 ,     106 ,      40,
======== ,======= ,===== ,======= ,======== ,========,
   Total ,    754 , 8930 ,  20-20 ,    4818 ,    4112,
 Percent ,        ,      ,        ,    ***% ,    ***%,
